The following Report is calculated based on this timeline:
 From Mar 22 12:00:00 AM to Mar 22 11:59:00 PM


B2B Total Dispatched, 47
B2C Total Dispatched, 4

B2B Total Completed, 7
B2C Total Completed, 4

B2B Total Attempted, 33
B2C Total Attempted, 0

B2B Total Returned, 7
B2C Total Returned, 0

B2B Total In Progress for last 3 days, 7
B2C Total In Progress for last 3 days, 0

B2B Total Pending for last 12 hours, 18
B2C Total Pending for last 12 hours, 0


B2B Total Completed Percentage, 14.89%
B2B Total Attempted Percentage, 70.21%


B2C Total Completed Percentage, 100%
B2C Total Attempted Percentage, 0%
