The following Report is calculated based on this timeline:
 From Mar 28 1:00:00 AM to Mar 29 12:59:00 AM


B2B Total Dispatched, 7
B2C Total Dispatched, 0

B2B Total Completed, 1
B2C Total Completed, 0

B2B Total Attempted, 5
B2C Total Attempted, 0

B2B Total Returned, 1
B2C Total Returned, 0

B2B Total In Progress for last 3 days, 23
B2C Total In Progress for last 3 days, 0

B2B Total Pending for last 12 hours, 33
B2C Total Pending for last 12 hours, 0


B2B Total Completed Percentage, 14.29%
B2B Total Attempted Percentage, 71.43%


B2C Total Completed Percentage, NaN%
B2C Total Attempted Percentage, NaN%
